"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","5.3","6.6","6.7","9.3","10.8","9.4","11.2","","35.964","","","","","","10.394","22.974","19.295","19.523","18.884","17.511","16.576","17.498","18.261","17.617","17.704","10.589","9.794","8.055","8.418","8.262","8.298","","",
"American Samoa","ASM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","12.99","17.24","19.08","14.87","13.79","14.35","12.41","12.61","12.78","12.96","13.11","13.29","13.38","","","","5.11","","","","","","","","","","5.05","","","","","9.98","","","","","9.2","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","20.46","19.46","19.45","20.69","","","","","","","","","","","","","","","6","","","","","","","","","","8.42","","","","","","","","","","","","","","","","","8.78","","","","","","","",
"Australia","AUS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","6.265","6.105","5.784","7.163","9.961","8.987","8.258","8.081","8.106","7.226","6.175","6.926","9.579","10.729","10.874","9.719","8.469","8.506","8.362","7.676","6.872","6.283","6.742","6.368","5.929","5.395","5.032","4.782","4.377","4.234","5.561","5.211","5.081","5.224","5.662","6.077","6.054","5.714","5.604","5.345","5.143","6.394","5.022","3.728","3.668","3.942","",
"Austria","AUT","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","2.8","2.4","1.5","1.3","1.2","1.3","2","2","1.8","2.1","2","1.9","2.06","3.35","4.11","3.8","3.6","3.12","3.79","3.55","3.14","3.25","3.42","3.59","4.25","3.582","4.345","5.282","5.15","5.483","4.699","4.687","4.007","4.852","4.779","5.969","5.682","5.32","4.909","4.198","5.371","4.883","4.637","4.909","5.367","5.674","5.802","6.064","5.561","4.933","4.56","5.201","6.459","4.992","5.264","5.161","",
"Azerbaijan","AZE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11","0.17","0.52","0.65","0.8","0.9","1.03","1.13","16.25","11.78","10.91","10.04","9.17","7.99","7.26","6.62","6.33","5.86","5.74","5.63","5.42","5.19","4.97","4.91","4.96","5","5","4.9","5","7.24","6.04","5.65","","","",
"Burundi","BDI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","","","","","","","","","14","","","","","","","3.185","","1.634","","","","","","1.572","","","","","","1.03","","","","","",
"Belgium","BEL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","2.1","2.7","2.8","3","5.1","6.5","5.67","7.9","6.96","9.1","11.35","13","11.66","11.882","11.321","11.28","11.257","10.127","8.284","7.25","6.984","6.702","8.078","9.645","9.337","9.483","8.95","9.322","8.649","6.586","6.178","6.91","7.68","7.363","8.44","8.246","7.459","6.976","7.908","8.293","7.14","7.542","8.425","8.523","8.482","7.83","7.09","5.941","5.364","5.545","6.248","5.57","5.547","5.701","",
"Benin","BEN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.18","","","","","","1.51","","","","","","","","","","0.69","","","","","","","","1.04","2.647","","2.198","","","","","","1.214","","","1.685","","","",
"Burkina Faso","BFA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","","","","","","","2.58","","","","2.44","","","","","2.78","","4","2.353","3.3","","","","","","","6.481","","","","4.695","1.56","","","1.927","5.348","3.441","",
"Bangladesh","BGD","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","2.04","2.02","0.96","","","0.92","","2.2","","","","","2.51","","","","3.27","","","4.32","","4.25","3.591","","","5","3.379","2.504","","4.426","","","4.35","4.372","","","","","4.593","3.352","3.635","",
"Bulgaria","BGR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","11.1","15.3","16.4","12.8","11.1","12.5","13.7","12.2","14.1","16.218","19.921","18.11","13.733","12.037","10.083","8.951","6.878","5.609","6.817","10.279","11.26","12.27","12.941","11.424","9.143","7.575","6.164","5.211","4.148","5.037","5.166","4.148","4.319","4.165","",
"Bahrain","BHR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","3.7","4","1.13","4","1.2","","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","8.6","","21.2","","20.86","","14.7","","","","","","","12.09","","11.02","11.59","7.77","12.17","14.81","12.72","13.83","10.83","11.46","9.76","7.65","7.45","","6.87","9.05","10.84","10.2","10.2","7.54","7.88","8.18","14.25","","14.52","14.02","16.18","13.8","12","12.7","9.8","10","9.336","","","","8.645","","",
"Bosnia and Herzegovina","BIH","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.55","","","","","","","","","","16.1","","","","","31.11","28.984","23.405","24.068","27.312","27.582","28.01","27.49","27.517","27.695","25.408","20.527","18.4","15.692","15.868","14.897","12.657","10.668","10.706","",
"Belarus","BLR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.5","1.4","2.1","2.9","4","2.8","2.3","6.612","2.1","2.3","3","3.1","1.9","1.5","1.2","1","0.8","5.803","","0.6","0.5","0.5","0.5","1","5.844","5.648","4.763","4.165","4.049","3.9","3.574","3.461","3.039","",
"Belize","BLZ","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.78","11.1","12.48","13.82","12.68","14.31","12.84","","9.07","10.04","","","10.91","9.39","8.51","8.18","","","","","8.349","8.244","7.578","7","6.596","9.346","9.053","","","","","","",
"Bermuda","BMU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.71","","","","","","","","","4.48","6.49","","8.44","6.66","8.94","","","","","","","","","","","",
"Bolivia","BOL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","9","8.1","7.1","6.1","5.2","5.3","5.3","5.5","5.6","6.1","10.16","11.6","14.19","14.66","19.28","19.76","20.32","18","10.1","6.69","6.59","5.52","5.99","3.08","3.69","5.23","2.08","","3.93","4.47","5.24","5.48","","4.17","5.45","5.08","5.18","2.603","2.973","","2.255","2.066","2.437","2.021","3.111","3.498","3.655","3.519","3.682","7.903","4.936","3.452","2.948","2.73","",
"Brazil","BRA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","3.06","2.78","","","1.92","2.32","2.36","2.76","","3.99","4.83","4.62","4.04","3.38","2.37","3.56","3.79","4.145","4.703","","7.086","6.03","","7.092","8.035","9.003","10.15","11.125","","10.649","10.641","11.168","10.072","10.551","9.692","9.28","8.268","9.419","","7.578","7.251","7.071","6.755","8.538","11.58","12.792","12.329","11.936","13.697","13.158","9.231","7.947","6.801","",
"Barbados","BRB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","9.86","12.45","13.29","9.45","8.98","7.23","8.39","9.06","17.02","18.85","17.88","17.94","17.57","14.06","8.16","7.52","22.94","24.54","22.98","19.66","14.71","14.61","12.4","10.61","9.35","9.85","10.32","11","","","","","","10.02","10.69","11.19","11.59","11.55","12.17","9.803","8.247","8.62","8.321","8.41","","11.015","7.261","6.54","","",
"Brunei Darussalam","BRN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","8.252","7.85","8.063","8.696","10.041","7.668","7.842","6.548","6.037","","","","","","","","4.7","","","","","","","","","","","","","","","","","","","","","","","6.862","","","9.316","8.7","6.6","7.409","4.905","5.191","5.296","4.871","",
"Bhutan","BTN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.4","","1.9","","1.8","2.49","3.1","3.13","3.7","","3.96","3.32","3.23","2.05","2.87","2.63","2.45","","","3.35","2.72","5.03","4.803","5.947","3.126","3.282","",
"Botswana","BWA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","25.67","","","","","","13.82","","","21.2","","21.593","","20.86","","15.88","18.54","","23.8","","","17.782","","","16.169","17.86","20.01","","","","","","","","20.094","21.017","23.106","23.615","23.381","24.433","",
"Central African Republic","CAF","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","4.7","5.9","6.4","6.3","5.6","5.4","","7.09","8.049","8.376","7.525","7.537","7.607","11.04","12.018","11.344","10.502","9.593","8.82","7.762","7.546","8.131","10.316","11.197","11.377","10.395","9.489","9.62","9.1","8.278","7.583","6.829","7.219","7.665","7.574","7.185","6.758","6.484","6.156","6.284","8.46","8.178","7.637","7.392","7.143","7.023","6.945","7.038","6.426","5.837","5.69","9.657","7.527","5.279","5.415","6.351","",
"Central Europe and the Baltics","CEB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1553841981701","11.4292124515335","10.7442662328485","10.2460767965148","9.3907412921948","9.18697418361695","10.6183180697798","12.1493697321005","13.4981128132324","13.9609765303477","13.2764246828022","12.8914606604503","12.0311529429654","10.1249144944981","7.80912922603523","6.60116715977237","8.51650875155538","9.92718738959061","9.80960842319458","10.014837051229","10.076189699493","8.87370489824698","7.81260796234007","6.47626986745334","5.27719000843769","4.29483445753775","3.76072643211224","4.3496421220328","4.44508031221282","3.96540582731722","4.01230416616797","4.00928878053645","",
"Switzerland","CHE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","0.3","0.7","0.4","0.4","0.4","0.2","0.2","0.4","0.9","1.1","1","0.8","0.8","0.7","0.6","2.07","1.818","2.344","3.551","3.58","3.094","3.684","4.127","3.568","3.053","2.658","2.49","2.924","4.117","4.316","4.437","3.995","3.641","3.35","4.109","4.808","4.409","4.491","4.747","4.826","4.801","4.918","4.797","4.713","4.394","4.817","5.013","4.122","4.043","4.343","",
"Channel Islands","CHI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","14.69","12.75","11.83","14.26","13.63","10.46","11.35","19.6","14.65","13.91","","8.71","","6.23","5.29","5.63","5.23","4.35","4.49","5.87","4.7","6.326","6.118","6.412","10.141","9.668","9.854","9.801","9.538","10.007","9.238","7.804","7.136","7.796","9.689","8.547","7.492","6.79","6.361","6.761","6.605","6.926","7.3","7.673","7.559","11.18","9.417","8.331","9.091","8.756","",
"China","CHN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","5.3","5.4","4.9","3.8","3.2","2.3","1.9","1.8","2","2","2","2.6","2.5","2.3","2.3","2.6","2.8","2.9","3","3.1","3.1","3.1","3.707","3.6","4","4.3","4.2","4.2","4.1","4","4.2","4.3","4.1","4.1","4.1","4.05","4.1","","","3.9","4.93","5.15","5.61","5.11","","","","",
"Cote d'Ivoire","CIV","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","","","4.1","","","2.857","","","","","","","","","","","","","","7.223","4.255","","","1.896","3.272","","2.401","","","2.31","","","",
"Cameroon","CMR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.06","","","","","7.46","","","","21.382","","3.063","","","4.11","","","","3.534","","","","","","","3.275","","","","",
"Congo, Dem. Rep.","COD","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.948","","","","","","","4.485","","","","5.006","","","","1.466","","","","","",
"Congo, Rep.","COG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.796","","","","19.86","","","10","","","","","","","","","","","","","",
"Colombia","COL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","10.55","","9.4","","","9.1","8.13","11.46","11.13","13","13.89","12.94","10.83","","","","10.12","9.44","7.8","8.25","8.72","11.81","12.14","15","20.06","20.52","15.04","14.481","13.221","13.72","11.062","","11.281","11.387","12.2","11.153","10.288","9.959","9.246","8.799","8.572","8.922","9.086","9.36","10.28","15.722","13.898","10.541","9.591","9.619","",
"Comoros","COM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.571","","","","","","","","","","8.142","","","","","","","4.394","","","","",
"Cabo Verde","CPV","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","13.517","10.67","","","","","31.313","","12.24","12.17","11.29","","","","","","",
"Costa Rica","CRI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.051","6.396","6.654","6.445","6.749","5.926","4.557","4.934","7.824","7.171","9.518","9.11","8.218","8.499","8.415","8.085","7.729","9.01","10.807","16.432","15.139","11.325","8.325","6.936","",
"Caribbean small states","CSS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3411036026489","18.1422979649268","17.1654263777177","15.2150460863969","14.6011471749006","13.835285749547","13.0504586054306","12.3385954680274","","","10.9804606332662","","","","8.21037081116296","","","","","","","7.84215870607055","6.52949543341106","5.99251976868893","7.03903785730386","","","7.89834422046161","","","","","","",
"Cuba","CUB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.27","7.61","7.1","6.23","6.26","5.45","4.08","3.31","2.33","1.854","1.95","1.913","1.788","1.583","1.67","2.5","3.18","3.498","3.29","2.7","2.4","2","1.7","1.7","","","","","","","",
"Curacao","CUW","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.78","","13.03","12.61","11.71","","","13.43","","19.07","","","","","",
"Cayman Islands","CYM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.91","","7.22","5.74","4.94","5.1","4.14","4.17","","","7.54","5.37","3.61","3.45","3.54","2.62","3.83","3.97","6.04","6.68","6.78","6.21","6.27","4.7","4.24","","","","","","","","","","",
"Cyprus","CYP","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","10.9","7.4","3.1","2","1.7","2","2.6","2.8","3.3","3.3","3.3","3.7","3.4","2.8","2.3","1.8","3","2.09","2.7","2.7","2.6","3.1","3.4","3.3","5.532","4.766","4.043","3.336","4.153","4.77","5.481","4.593","3.946","3.756","5.594","6.359","7.942","12.097","16.131","16.277","15.026","13.006","11.155","8.504","7.155","7.755","7.513","6.806","5.835","4.867","",
"Czechia","CZE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.775","4.406","2.805","4.349","4.284","4.082","3.852","4.674","6.455","8.702","8.764","8.128","7.28","7.777","8.298","7.927","7.141","5.316","4.392","6.662","7.281","6.712","6.979","6.953","6.108","5.048","3.952","2.893","2.246","2.015","2.55","2.803","2.224","2.579","2.603","",
"Germany","DEU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","6.449","6.673","6.875","6.608","6.813","6.319","5.705","4.89","5.316","6.323","7.675","8.727","8.158","8.822","9.861","9.787","8.854","7.917","7.773","8.482","9.779","10.727","11.193","10.277","8.732","7.508","7.88","7.043","5.967","5.372","5.316","4.979","4.612","4.104","3.781","3.384","3.163","3.881","3.594","3.137","3.071","3.372","",
"Djibouti","DJI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.064","","","","","","","","",
"Dominica","DMA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.33","","9.53","","","","","","23.18","","15.67","","10.96","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","0.9","2.1","5.1","5.3","6.4","7.3","6.1","7","9.2","10","9.745","8.867","7.797","6.033","6.091","6.486","8.149","8.338","9.099","9.027","10.719","8.036","6.992","6.844","5.4","5.039","5.141","4.476","4.164","4.274","5.398","5.204","4.83","3.897","3.801","3.683","6.409","7.746","7.769","7.798","7.384","6.925","6.278","5.989","5.833","5.131","5.018","5.644","5.065","4.434","5.094","6.151","",
"Dominican Republic","DOM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.432","7.262","6.779","6.938","6.303","6.587","5.654","5.158","4.764","5.467","5.212","6.087","6.722","7.351","6.719","7.605","7.284","5.832","5.861","6.356","6.126","7.702","5.504","5.555","5.314","",
"Algeria","DZA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.64","21.26","20.6","24.38","26.23","27.74","31.84","","25.43","","","29.77","27.3","25.9","23.72","17.65","15.27","12.27","13.79","11.33","10.16","9.96","9.96","10.97","9.82","10.207","11.206","10.202","12","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75212417477003","2.57416505527843","2.54658823344834","2.79258865311074","3.11854907290852","3.05521183496236","3.22789286052624","3.32249057341668","3.552065485883","3.60894942757123","4.0805955529931","3.78936463789266","4.2122040007921","4.30955986541088","4.33750115081955","4.47623162739181","4.378087943664","4.20950255854841","4.38083881223172","4.22348158715906","3.93503560977928","3.87504998724374","3.79978787194763","3.74201369582877","3.75915470258921","","","3.5292511629388","4.29576429272136","4.33716246296517","4.81970712334507","4.54923745614906","","","","",
"Early-demographic dividend","EAR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.24965258799965","","","","","","5.31497942051852","","","","","5.80878215479523","","","","","4.9067557805914","","5.00538286879895","","","","","","7.00971740670841","6.40278645895801","7.47629587598251","6.59782241161416","5.55491448908438","4.93601458241511","","",
"East Asia & Pacific","EAS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.73317965093138","2.60479700635617","2.59954711332328","2.84763921241808","3.14095902692876","3.08956608351438","3.26003660678371","3.35353064030935","3.70300065084603","3.78432249641913","4.14007886307663","3.90903532338762","4.31256132338761","4.38394605332654","4.36382893391068","4.45871110758737","4.3405795934964","4.16197801486661","4.3174597176966","4.29426913611888","4.01913860289935","3.9137626040873","3.83127442378921","3.77066855421602","3.7634843596925","","","3.52233844386047","4.18459109117977","4.20797382571154","4.69512619195929","4.43471694093268","","","","",
"Europe & Central Asia (excluding high income)","ECA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.52303158372637","7.73452973130308","8.2927370831933","9.34190767040442","10.8911959642315","8.61942585539528","9.2442144115772","8.82158754824674","8.6503684496428","8.48671218229992","8.0061702366093","8.17308584990348","8.44294565632548","8.63347647605071","10.3871096963262","9.93314530284309","8.82264367211388","8.48558527350146","8.43855187072114","8.8443833039721","8.847908629724","8.97434455600128","9.0538506488214","9.12325429373465","9.67079206210364","9.25723406023813","10.0135777831354","","","","",
"Europe & Central Asia","ECS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.36602918959216","8.79208722359665","9.76140656148484","9.48676511870331","9.8216228670559","10.1684306234041","10.3447277376488","10.4547615677157","9.20788651396564","8.73403231410485","8.64558034584787","8.74436867814515","8.68978372967567","8.38122095485265","7.97044853402472","7.22281373793162","7.18970368664085","9.13350645673079","9.19513946215094","8.83740026407689","9.04955430313517","9.24630221460598","8.91878137495932","8.52848371716201","8.05906017935137","7.49718155396034","6.9804476957345","6.7291725547778","7.07471466192093","6.96499540899912","5.86900482608642","5.58160560054398","5.34515655038483","",
"Ecuador","ECU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","4.4","5.3","","5.8","","","","","","","","","","7.24","6.99","7.71","5.88","8.19","8.56","7.95","6.68","6.7","10.38","9.17","11.49","13.96","4.8","4.252","","5.662","5.002","3.779","3.55","3.142","3.917","4.608","4.088","3.458","3.235","2.913","3.279","3.419","4.39","3.708","3.396","3.703","6.084","4.434","3.672","3.462","3.386","",
